524288.000000 , 0.000000
-514615.747743 , -95813.938597
486068.691566 , 187497.384469
-440029.487354 , -271138.217057
378716.022225 , 343248.194606
-305057.149880 , -400943.535772
222529.443875 , 442090.076230
-134964.865449 , -465404.712004
46340.950012 , 470507.561394
39433.913288 , -457922.329771
-118727.359271 , 429025.549072
188369.957866 , -385948.481528
-245811.415532 , 331438.325998
289237.364138 , -268687.764807
-317640.597212 , 201143.689839
330843.528250 , -132307.039373
-329471.720956 , 65536.000000
314881.376716 , -3864.369850
-289046.464903 , -50154.319405
254413.569172 , 94568.175315
-213734.349480 , -128107.439014
169886.675731 , 150220.460826
-125695.911058 , -161064.425116
83767.496541 , 161452.983348
-46340.950012 , -152765.639172
15173.721648 , 136826.036032
8538.829135 , -115758.082306
-24203.603050 , 91830.004484
31829.055012 , -67296.882631
-31985.297187 , 44251.978756
25729.216046 , -24496.250058
-14500.980064 , 9433.922351
-0.000000 , -0.000000
15950.499045 , -3376.746552
-31540.684937 , 774.280356
45103.708671 , 7257.248177
-55229.124264 , -19761.296645
60852.986144 , 35466.177057
-61319.320268 , -52894.409425
56409.822750 , 70481.843541
-46340.950012 , -86697.819549
31729.863646 , 100157.863582
-13532.822341 , -109721.224862
-7038.571460 , 114566.883682
28616.479466 , -114243.389932
-49783.634179 , 108689.897678
69179.888687 , -98227.894651
-85600.826102 , 83525.232906
98081.555262 , -65536.000000
-105960.096347 , 45421.396324
108916.401504 , -24457.995846
-106984.935236 , 3940.488498
100540.717012 , 14913.806546
-90260.660217 , -31051.707149
77063.789409 , 43656.097464
-62035.360611 , -52198.158142
46340.950012 , 56466.610969
-31137.149185 , -56572.466347
17485.579027 , 52929.603168
-6276.516065 , -46213.282568
-1832.444884 , 37300.272503
6458.515031 , -27195.528224
-7513.971846 , 16951.248869
5203.590314 , -7584.556546
-0.000000 , -0.000000
-7400.651148 , 5077.417038
16138.930558 , -7153.895903
-25263.353209 , 5999.653512
33806.996387 , -1660.831233
-40863.596711 , -5549.941640
45657.389684 , 15083.164198
-47601.537507 , -26199.603278
46340.950012 , 38031.034822
-41776.558341 , -49649.718573
34069.552852 , 60141.171537
-23625.634127 , -68674.656892
11060.832772 , 74566.077694
2848.182143 , -77328.631267
-17225.264128 , 76707.584531
31162.578394 , -72696.792178
-43789.755215 , 65536.000000
54339.124540 , -55689.446033
-62202.128282 , 43807.681371
66972.750499 , -30675.775596
-68474.852751 , 17152.057715
66771.569302 , -4102.201674
-62156.306136 , -7666.249164
55126.292731 , 17463.928334
-46340.950012 , -24769.753832
36568.463850 , 29267.403637
-26624.808260 , -30865.552003
17309.984616 , 29700.529953
-9346.397239 , -26121.430380
3324.064114 , 20659.017816
343.214877 , -13981.024080
-1447.493431 , 6837.422423
0.000000 , -0.000000
3772.702893 , -5799.060814
-9449.246362 , 9924.853826
16448.921725 , -11889.268335
-24079.209632 , 11388.617987
31591.597047 , -8326.586489
-38241.304961 , 2820.848121
43346.286664 , 4807.012666
-46340.950012 , -14057.373501
46820.497541 , 24292.123840
-44572.529323 , -34784.743294
39593.555770 , 44776.973344
-32089.242976 , -53537.667490
22458.470990 , 60419.266246
-11262.529047 , -64907.554236
-818.093373 , 66660.898826
13035.920909 , -65536.000000
-24633.638986 , 61598.234488
34901.741040 , -55115.872024
-43232.227432 , 46538.685962
49164.231395 , -36462.679071
-52418.086535 , 25583.706698
52915.254480 , -14643.623074
-50782.630045 , 4373.138630
46340.950012 , 4564.185200
-40078.257521 , -11622.479305
32610.523155 , 16414.757924
-24632.508429 , -18741.598618
16862.702490 , 18605.125129
-9986.611885 , -16207.245721
4602.802438 , 11932.316628
-1175.872957 , -6315.602404
0 , -0.000000
-1175.872957 , 6315.602404
4602.802438 , -11932.316628
-9986.611885 , 16207.245721
16862.702490 , -18605.125129
-24632.508429 , 18741.598618
32610.523155 , -16414.757924
-40078.257521 , 11622.479305
46340.950012 , -4564.185200
-50782.630045 , -4373.138630
52915.254480 , 14643.623074
-52418.086535 , -25583.706698
49164.231395 , 36462.679071
-43232.227432 , -46538.685962
34901.741040 , 55115.872024
-24633.638986 , -61598.234488
13035.920909 , 65536.000000
-818.093373 , -66660.898826
-11262.529047 , 64907.554236
22458.470990 , -60419.266246
-32089.242976 , 53537.667490
39593.555770 , -44776.973344
-44572.529323 , 34784.743294
46820.497541 , -24292.123840
-46340.950012 , 14057.373501
43346.286664 , -4807.012666
-38241.304961 , -2820.848121
31591.597047 , 8326.586489
-24079.209632 , -11388.617987
16448.921725 , 11889.268335
-9449.246362 , -9924.853826
3772.702893 , 5799.060814
0.000000 , 0.000000
-1447.493431 , -6837.422423
343.214877 , 13981.024080
3324.064114 , -20659.017816
-9346.397239 , 26121.430380
17309.984616 , -29700.529953
-26624.808260 , 30865.552003
36568.463850 , -29267.403637
-46340.950012 , 24769.753832
55126.292731 , -17463.928334
-62156.306136 , 7666.249164
66771.569302 , 4102.201674
-68474.852751 , -17152.057715
66972.750499 , 30675.775596
-62202.128282 , -43807.681371
54339.124540 , 55689.446033
-43789.755215 , -65536.000000
31162.578394 , 72696.792178
-17225.264128 , -76707.584531
2848.182143 , 77328.631267
11060.832772 , -74566.077694
-23625.634127 , 68674.656892
34069.552852 , -60141.171537
-41776.558341 , 49649.718573
46340.950012 , -38031.034822
-47601.537507 , 26199.603278
45657.389684 , -15083.164198
-40863.596711 , 5549.941640
33806.996387 , 1660.831233
-25263.353209 , -5999.653512
16138.930558 , 7153.895903
-7400.651148 , -5077.417038
0.000000 , 0.000000
5203.590314 , 7584.556546
